"CATRA Test ID","Stroke","Cut Depth (forward + back)","Blade ID"
1,1,28,"AMB-08-KIR-WLD-01"
2,2,19,"AMB-08-KIR-WLD-01"
3,3,18,"AMB-08-KIR-WLD-01"
4,4,15,"AMB-08-KIR-WLD-01"
5,5,13,"AMB-08-KIR-WLD-01"
6,6,12,"AMB-08-KIR-WLD-01"
7,7,10,"AMB-08-KIR-WLD-01"
8,8,10,"AMB-08-KIR-WLD-01"
9,9,10,"AMB-08-KIR-WLD-01"
10,10,10,"AMB-08-KIR-WLD-01"
11,11,8,"AMB-08-KIR-WLD-01"
12,12,6,"AMB-08-KIR-WLD-01"
13,13,6,"AMB-08-KIR-WLD-01"
14,14,6,"AMB-08-KIR-WLD-01"
15,15,6,"AMB-08-KIR-WLD-01"
16,16,6,"AMB-08-KIR-WLD-01"
17,17,6,"AMB-08-KIR-WLD-01"
18,18,6,"AMB-08-KIR-WLD-01"
19,19,5,"AMB-08-KIR-WLD-01"
20,20,5,"AMB-08-KIR-WLD-01"
21,21,5,"AMB-08-KIR-WLD-01"
22,22,4,"AMB-08-KIR-WLD-01"
23,23,3,"AMB-08-KIR-WLD-01"
24,24,4,"AMB-08-KIR-WLD-01"
25,25,3,"AMB-08-KIR-WLD-01"
26,26,3,"AMB-08-KIR-WLD-01"
27,27,3,"AMB-08-KIR-WLD-01"
28,28,3,"AMB-08-KIR-WLD-01"
29,29,3,"AMB-08-KIR-WLD-01"
30,30,3,"AMB-08-KIR-WLD-01"
31,31,3,"AMB-08-KIR-WLD-01"
32,32,3,"AMB-08-KIR-WLD-01"
33,33,3,"AMB-08-KIR-WLD-01"
34,34,3,"AMB-08-KIR-WLD-01"
35,35,3,"AMB-08-KIR-WLD-01"
36,36,2,"AMB-08-KIR-WLD-01"
37,37,2,"AMB-08-KIR-WLD-01"
38,38,2,"AMB-08-KIR-WLD-01"
39,39,2,"AMB-08-KIR-WLD-01"
40,40,2,"AMB-08-KIR-WLD-01"
41,41,2,"AMB-08-KIR-WLD-01"
42,42,2,"AMB-08-KIR-WLD-01"
43,43,2,"AMB-08-KIR-WLD-01"
44,44,2,"AMB-08-KIR-WLD-01"
45,45,2,"AMB-08-KIR-WLD-01"
46,46,2,"AMB-08-KIR-WLD-01"
47,47,2,"AMB-08-KIR-WLD-01"
48,48,2,"AMB-08-KIR-WLD-01"
49,49,2,"AMB-08-KIR-WLD-01"
50,50,2,"AMB-08-KIR-WLD-01"
51,51,1,"AMB-08-KIR-WLD-01"
52,52,1,"AMB-08-KIR-WLD-01"
53,53,1,"AMB-08-KIR-WLD-01"
54,54,1,"AMB-08-KIR-WLD-01"
55,55,1,"AMB-08-KIR-WLD-01"
56,56,2,"AMB-08-KIR-WLD-01"
57,57,1,"AMB-08-KIR-WLD-01"
58,58,1,"AMB-08-KIR-WLD-01"
59,59,1,"AMB-08-KIR-WLD-01"
60,60,1,"AMB-08-KIR-WLD-01"
61,1,23,"XIT-8-01"
62,2,19,"XIT-8-01"
63,3,15,"XIT-8-01"
64,4,12,"XIT-8-01"
65,5,11,"XIT-8-01"
66,6,8,"XIT-8-01"
67,7,8,"XIT-8-01"
68,8,6,"XIT-8-01"
69,9,6,"XIT-8-01"
70,10,6,"XIT-8-01"
71,11,6,"XIT-8-01"
72,12,5,"XIT-8-01"
73,13,5,"XIT-8-01"
74,14,6,"XIT-8-01"
75,15,6,"XIT-8-01"
76,16,5,"XIT-8-01"
77,17,5,"XIT-8-01"
78,18,5,"XIT-8-01"
79,19,5,"XIT-8-01"
80,20,5,"XIT-8-01"
81,21,4,"XIT-8-01"
82,22,3,"XIT-8-01"
83,23,3,"XIT-8-01"
84,24,4,"XIT-8-01"
85,25,4,"XIT-8-01"
86,26,4,"XIT-8-01"
87,27,3,"XIT-8-01"
88,28,3,"XIT-8-01"
89,29,3,"XIT-8-01"
90,30,3,"XIT-8-01"
91,31,3,"XIT-8-01"
92,32,3,"XIT-8-01"
93,33,3,"XIT-8-01"
94,34,2,"XIT-8-01"
95,35,2,"XIT-8-01"
96,36,2,"XIT-8-01"
97,37,2,"XIT-8-01"
98,38,3,"XIT-8-01"
99,39,2,"XIT-8-01"
100,40,3,"XIT-8-01"
101,41,2,"XIT-8-01"
102,42,2,"XIT-8-01"
103,43,2,"XIT-8-01"
104,44,2,"XIT-8-01"
105,45,2,"XIT-8-01"
106,46,2,"XIT-8-01"
107,47,2,"XIT-8-01"
108,48,2,"XIT-8-01"
109,49,2,"XIT-8-01"
110,50,2,"XIT-8-01"
111,51,2,"XIT-8-01"
