"Blade ID","CatraTestReadingID","CATRA Test ID","Stroke","Cut Depth","ID"
"MDE-8-01",1601.00,13.00,39.00,0.00,1
"MDE-8-01",1603.00,13.00,41.00,0.00,2
"MDE-8-01",1605.00,13.00,43.00,0.00,3
"MDE-8-01",1607.00,13.00,45.00,0.00,4
"MDE-8-01",1609.00,13.00,47.00,0.00,5
"MDE-8-01",1611.00,13.00,49.00,0.00,6
"MDE-8-01",1613.00,13.00,51.00,0.00,7
"MDE-8-01",1615.00,13.00,53.00,0.00,8
"MDE-8-01",1617.00,13.00,55.00,0.00,9
"MDE-8-01",1619.00,13.00,57.00,0.00,10
"MDE-8-01",1621.00,13.00,59.00,0.00,11
"MDE-8-01",1623.00,13.00,61.00,0.00,12
"MDE-8-01",1625.00,13.00,63.00,0.00,13
"MDE-8-01",1626.00,13.00,64.00,0.00,14
"MDE-8-01",1627.00,13.00,65.00,0.00,15
"MDE-8-01",1628.00,13.00,66.00,0.00,16
"MDE-8-01",1629.00,13.00,67.00,0.00,17
"MDE-8-01",1630.00,13.00,68.00,0.00,18
"MDE-8-01",1631.00,13.00,69.00,0.00,19
"MDE-8-01",1632.00,13.00,70.00,0.00,20
"MDE-8-01",1633.00,13.00,71.00,0.00,21
"MDE-8-01",1634.00,13.00,72.00,0.00,22
"MDE-8-01",1635.00,13.00,73.00,0.00,23
"MDE-8-01",1636.00,13.00,74.00,0.00,24
"MDE-8-01",1637.00,13.00,75.00,0.00,25
"MDE-8-01",1638.00,13.00,76.00,0.00,26
"MDE-8-01",1639.00,13.00,77.00,0.00,27
"MDE-8-01",1640.00,13.00,78.00,0.00,28
"MDE-8-01",1641.00,13.00,79.00,0.00,29
"MDE-8-01",1642.00,13.00,80.00,0.00,30
"MDE-8-01",1643.00,13.00,81.00,0.00,31
"MDE-8-01",1644.00,13.00,82.00,0.00,32
"MDE-8-01",1645.00,13.00,83.00,0.00,33
"MDE-8-01",1646.00,13.00,84.00,0.00,34
"MDE-8-01",1647.00,13.00,85.00,0.00,35
"MDE-8-01",1648.00,13.00,86.00,0.00,36
"MDE-8-01",1649.00,13.00,87.00,0.00,37
"MDE-8-01",1650.00,13.00,88.00,0.00,38
"MDE-8-01",1651.00,13.00,89.00,0.00,39
"MDE-8-01",1652.00,13.00,90.00,0.00,40
"MDE-8-01",1653.00,13.00,91.00,0.00,41
"MDE-8-01",1654.00,13.00,92.00,0.00,42
"MDE-8-01",1655.00,13.00,93.00,0.00,43
"MDE-8-01",1656.00,13.00,94.00,0.00,44
"MDE-8-01",1657.00,13.00,95.00,0.00,45
"MDE-8-01",1658.00,13.00,96.00,0.00,46
"MDE-8-01",1659.00,13.00,97.00,0.00,47
"MDE-8-01",1660.00,13.00,98.00,0.00,48
"MDE-8-01",1661.00,13.00,99.00,0.00,49
"MDE-8-01",1662.00,13.00,100.00,0.00,50
"MDE-8-01",1663.00,13.00,101.00,0.00,51
"MDE-8-01",1664.00,13.00,102.00,0.00,52
"MDE-8-01",1665.00,13.00,103.00,0.00,53
"MDE-8-01",1666.00,13.00,104.00,0.00,54
"MDE-8-01",1667.00,13.00,105.00,0.00,55
"MDE-8-01",1668.00,13.00,106.00,0.00,56
"MDE-8-01",1669.00,13.00,107.00,0.00,57
"MDE-8-01",1670.00,13.00,108.00,0.00,58
"MDE-8-01",1671.00,13.00,109.00,0.00,59
"MDE-8-01",1672.00,13.00,110.00,0.00,60
"MDE-8-01",1673.00,13.00,111.00,0.00,61
"MDE-8-01",1674.00,13.00,112.00,0.00,62
"MDE-8-01",1675.00,13.00,113.00,0.00,63
"MDE-8-01",1676.00,13.00,114.00,0.00,64
"MDE-8-01",1677.00,13.00,115.00,0.00,65
"MDE-8-01",1678.00,13.00,116.00,0.00,66
"MDE-8-01",1679.00,13.00,117.00,0.00,67
"MDE-8-01",1680.00,13.00,118.00,0.00,68
"MDE-8-01",1681.00,13.00,119.00,0.00,69
"MDE-8-01",1682.00,13.00,120.00,0.00,70
"AMB-08-KIR-WLD-01",25.00,2.00,23.00,0.00,71
"AMB-08-KIR-WLD-01",29.00,2.00,27.00,0.00,72
"AMB-08-KIR-WLD-01",31.00,2.00,29.00,0.00,73
"AMB-08-KIR-WLD-01",33.00,2.00,31.00,0.00,74
"AMB-08-KIR-WLD-01",35.00,2.00,33.00,0.00,75
"AMB-08-KIR-WLD-01",37.00,2.00,35.00,0.00,76
"XIT-8-01",137.00,3.00,15.00,0.00,77
"XIT-8-01",139.00,3.00,17.00,0.00,78
"XIT-8-01",141.00,3.00,19.00,0.00,79
"XIT-8-01",143.00,3.00,21.00,0.00,80
"XIT-8-01",145.00,3.00,23.00,0.00,81
"XIT-8-01",147.00,3.00,25.00,0.00,82
"XIT-8-01",149.00,3.00,27.00,0.00,83
"XIT-8-01",151.00,3.00,29.00,0.00,84
"XIT-8-01",153.00,3.00,31.00,0.00,85
"XIT-8-01",155.00,3.00,33.00,0.00,86
"XIT-8-01",157.00,3.00,35.00,0.00,87
"XIT-8-01",159.00,3.00,37.00,0.00,88
"XIT-8-01",161.00,3.00,39.00,0.00,89
"SNF-GSAN-7-01",635.00,1.00,33.00,0.00,107
"SNF-GSAN-7-01",637.00,1.00,35.00,0.00,108
"SNF-GSAN-7-01",639.00,1.00,37.00,0.00,109
"SNF-GSAN-7-01",641.00,1.00,39.00,0.00,110
"SNF-GSAN-7-01",643.00,1.00,41.00,0.00,111
"SNF-GSAN-7-01",645.00,1.00,43.00,0.00,112
"SNF-GSAN-7-01",647.00,1.00,45.00,0.00,113
"SNF-GSAN-7-01",649.00,1.00,47.00,0.00,114
"SNF-GSAN-7-01",651.00,1.00,49.00,0.00,115
"SNF-GSAN-7-01",653.00,1.00,51.00,0.00,116
"SNF-GSAN-7-01",655.00,1.00,53.00,0.00,117
"SNF-GSAN-7-01",657.00,1.00,55.00,0.00,118
"SNF-GSAN-7-01",659.00,1.00,57.00,0.00,119
"SNF-GSAN-7-01",661.00,1.00,59.00,0.00,120
"SNF-GSAN-7-01",663.00,1.00,61.00,0.00,121
"SNF-GSAN-7-01",665.00,1.00,63.00,0.00,122
"SNF-GSAN-7-01",667.00,1.00,65.00,0.00,123
"SNF-GSAN-7-01",669.00,1.00,67.00,0.00,124
"SNF-GSAN-7-01",671.00,1.00,69.00,0.00,125
"SNF-GSAN-7-01",673.00,1.00,71.00,0.00,126
"SNF-GSAN-7-01",675.00,1.00,73.00,0.00,127
"SNF-GSAN-7-01",691.00,1.00,89.00,0.00,128
"TUR-8-1",739.00,4.00,17.00,0.00,129
"TUR-8-1",741.00,4.00,19.00,0.00,130
"TUR-8-1",743.00,4.00,21.00,0.00,131
"TUR-8-1",745.00,4.00,23.00,0.00,132
"TUR-8-1",747.00,4.00,25.00,0.00,133
"TUR-8-1",749.00,4.00,27.00,0.00,134
"TUR-8-1",751.00,4.00,29.00,0.00,135
"TUR-8-1",753.00,4.00,31.00,0.00,136
"TUR-8-1",755.00,4.00,33.00,0.00,137
"TUR-8-1",757.00,4.00,35.00,0.00,138
