"ID","BladeID","Sample","Rank","Measure","Peak Force","Average Force","Total Force","Max Force","Metric"
113,"WST-AMI-01","Tomato",1,"Peak Force","663.2","null","null","null",663.20
114,"MOR-AOG-1","Tomato",2,"Peak Force","795.4","null","null","null",795.40
115,"WST-CLS-01","Tomato",3,"Peak Force","852","null","null","null",852.00
116,"HNB-8-01","Tomato",4,"Peak Force","1014.2","null","null","null",1014.20
117,"SHU-CHE-01","Tomato",5,"Peak Force","1145.2","null","null","null",1145.20
118,"MIY-KOH-01","Tomato",6,"Peak Force","1149.666667","null","null","null",1149.66
119,"TOJ-8-01","Tomato",7,"Peak Force","1160.4","null","null","null",1160.40
120,"HEN-8-01","Tomato",8,"Peak Force","1198.8","null","null","null",1198.80
121,"WST-8-01","Tomato",9,"Peak Force","1235.6","null","null","null",1235.60
122,"MIY-KAI-01","Tomato",10,"Peak Force","1288","null","null","null",1288.00
123,"MAC-8-1","Tomato",11,"Peak Force","1288.166667","null","null","null",1288.16
124,"GLO-8-01","Tomato",12,"Peak Force","1375.8","null","null","null",1375.80
125,"MSS-RES-01","Tomato",13,"Peak Force","1654.4","null","null","null",1654.40
126,"MAT-8-01","Tomato",14,"Peak Force","1675.2","null","null","null",1675.20
127,"VNX-8-01","Tomato",15,"Peak Force","1741","null","null","null",1741.00
128,"SHU-CLS-01","Tomato",16,"Peak Force","1825.2","null","null","null",1825.20
129,"ZWI-SFE-8-1","Tomato",17,"Peak Force","1872.6","null","null","null",1872.60
130,"MDE-8-01","Tomato",18,"Peak Force","2043.8","null","null","null",2043.80
131,"MER-23510-8","Tomato",19,"Peak Force","2130.4","null","null","null",2130.40
132,"VNX-MDN-01","Tomato",20,"Peak Force","2174","null","null","null",2174.00
133,"MIS-8-01","Tomato",21,"Peak Force","2288","null","null","null",2288.00
134,"SHU-CLS-01","Potato",1,"Average Force","null","491.2177215","null","null",491.21
135,"WST-AMI-01","Potato",2,"Average Force","null","567.7569514","null","null",567.75
136,"TOJ-8-01","Potato",3,"Average Force","null","697.9165605","null","null",697.91
